TICKER;PRECO;ULTIMO DIVIDENDO;DY;VALOR PATRIMONIAL COTA;P/VP;LIQUIDEZ MEDIA DIARIA;PERCENTUAL EM CAIXA;CAGR DIVIDENDOS 3 ANOS; CAGR VALOR CORA 3 ANOS;PATRIMONIO;N COTISTAS;GESTAO; N COTAS
SNLG11;29,60;0,360000;6,82;45,24;0,65;50.914,45;4,78;;-23,46;114.445.551,93;3.606,00;Ativa;2.529.966,00
SNME11;9,62;0,100000;13,36;9,63;1,00;44.580,73;3,28;;;71.473.961,80;3.463,00;Ativa;7.418.243,00
SOLR11;1.051,35;4,770765;0,00;927,22;1,13;0,00;0,73;;;59.775.731,75;55,00;Ativa;64.468,00
SPAF11;0,00;7,435052;0,00;956,95;;;2,36;13,22;;10.784.780,59;1,00;Ativa;11.270,00
SPDE11;1.176,02;61,880000;6,02;1.064,24;1,11;56.268,18;1,17;;;97.271.230,23;121,00;Ativa;91.400,00
SPGM11;10,67;;0,00;9,82;1,09;0,00;1,39;;;28.266.318,34;31,00;Passiva;2.879.670,00
SPMO11;144,00;0,430000;0,00;133,63;1,08;0,00;0,01;;;242.032.725,82;18,00;Ativa;1.811.236,00
SPTW11;29,90;0,400000;17,69;57,49;0,52;101.254,27;5,97;3,29;-13,05;103.362.110,64;21.951,00;Passiva;1.798.000,00
SPVJ11;0,00;14,831100;0,00;111,54;;;3,07;39,23;;704.020.762,20;26,00;Ativa;6.312.090,00
SPXC11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SPXG11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SPXL11;0,00;;0,00;63,81;;;3,50;;;118.155.565,38;8.102,00;;1.851.786,00
SPXS11;8,89;0,100000;12,98;9,53;0,93;562.722,05;8,86;;;192.356.088,03;19.272,00;Ativa;20.189.040,00
SRVD11;3,00;0,200000;0,00;0,54;5,56;;0,21;;;52.384.891,92;106,00;Ativa;96.286.020,00
